kanji,story
一,"One down, 2041 to go. ;).","This one is too difficult to remember. If the other Kanji are this difficult, I'm giving up.","One Line to Rule Them All, One Way to Write it; One Stroke From Left to Right, and With a Pen Lift, Bind it."
二,Two lines.,"No wonder the hotel room only cost TWO yen, all it had was a ceiling and a floor.","I have TWO Itchy knees 一 (Ichi), 二 (Ni)."
三,One + two = three.,"THREE measurements define the female shape: BUST, WAIST, and HIPS. Waist is the smallest, and for most women the HIPS are wider than the chest.","One (一) on top of two (二), gives three (三)."
四,FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.,"I imagine a giant devouring a human in four bites. First the giant bites off the person's head, then he bites the torso, then from the waist to the knees, and finally the giant plucks up the remaining portion of the human legs into his mouth. See the fourth bite falling in there?","This is a picture of a slab in the morgue. It is pulled out from the drawer, and it is showing only the dead person's feet. Clearly shi means DEATH."
五,三 + two vertical lines = 5.,"Five - has a THREE, and a small 'h'... 'high five'.",三 + II= 5.
六,"Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.","The Devil, always a gentleman, wears a top hat, but his goat legs, betray the Beast. 666 is his number.",A top hat with animal legs is clearly the work of the devil. Six six six!
七,"This kanji is our good old seven, turned upside down.",I wrote it upside down so I crossed it out.,"My NANA can't do exercise number 7, so SHICHI-ts."
八,"""Hachi"" (eight) begins with the sound of the katakana ""ha"", and it's approximately the same character.",The valcano hasn't erupted for 8 years.,The curtains close at eight.
九,Kinda of looks like the kanji of 1　一 with the kanji of 8 八added. So think of it as 一＋八＝九.,"It looks like an elaborate letter ""n"" for nine.",九i九e.
十,"Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees).",I scared away ten vampires with a single cross!,A roman ten (X) standing on one leg.
口,Looks like a huge open mouth.,"When you sneeze, your MOUTH forms a square, and you make a noise that sounds like (KUCHI).",（つ゜口゜）つ（Insert something yummy here).
日,"Open the window, new day.","=sun; day： Each time the SUN rises a new DAY begins. 日 (#12) is a picture of the sun. Normally we draw the sun with a circle(ㅇ) surrounded by many strokes. But there are no “round” shaped Kanji so we take 口 (#11) instead, and one stroke in the middle (one (#1)) representing all. 日本　Japan,　日曜日（ニチジヨウび）Sunday,　毎日（マイニチ）everyday, 母の日（ははのひ）mother's day,　日記（ニッキ）diary,　三日（ミッカ）three days.",Picture two halves of a 24-hr period: Day & Night.
月,A month is longer than a day.,"Am I the only one who sees this as someone sticking their ass in the air ""mooning"" someone (two cheeks of the butt and the legs coming off of it)? The Moon meaning connects well to the meaning of month, considering that months were traditionally measured by the phases of the moon. Also, the mooning ""ass"" part of it connects well to Hesig's seemingly unconnected ""flesh"" or ""part of the body"" meaning (when used in primitive form).","Month - every MOON cycle, werewolves eat FLESH, and other PARTs OF THE BODY."
田,A rice field divided into four parts.,Ten rice fields can feed many mouths.,Ten people use their mouths to eat the yield of the rice fields.
目,目_目.,There are 3 sections. Imagine the outer two being the whites of your eye. The middle is the pupil. Fill it in with imaginary color.,Look at those tears in eyes. You moku me cry! .·目_目·.
古,Tombstone and cross on an old man's grave.,You get OLD fast if you have ten open mouths to feed.,Old people tend to talk a lot. Almost as if they had TEN MOUTHS!
吾,I have 5 senses.,I eat five times at day.,"I consist of five senses to observe, one mouth to speak. For order, remember that observing through the senses should be done before using one's mouth."
冒,"Don't look at the sun directly with your eyes, it's risky!",You'll risk your eyesight if you look up at the sun.,"Looking up at the big sun is a risk to your eye. To remember that the sun primitive is bigger than the eye primitive, imagine making your eyes little (squinting) when you go out in the bright sun to reduce the risk of getting sun blindness. READING: imagine a kid saying ""oh that's ぼう (bull as in B.S.), looking at the sun is no risk!"" [he's blind now]."
朋,My companion and I are like two moons side by side.,One moon is lonely. Two moons are companions.,Companion = flesh of my flesh.
明,The sun makes the moon bright.,"The sun and the moon are brightest objects in the day and night, respectively.","In the long run, the REAL trouble here is distinguishing it from ""shining""/""sparkle"". Choose a story to learn how to write 明. To distinguish it, remember the Japanese word 明日 (ashita, ""tomorrow"") and think of Orphan Annie singing ""Tomorrow is a brighter day""."
唱,Someone chanting with their mouth open for two consecutive days.,The monk opened his month and chanted for two days.,Chants from our mouths are meant to reach the sun and the stars. Stars are just suns just further away so they seem smaller.
